Book Name,Book URL,Book Genre,Book Image,Book Author,Book Rating,Book Tags,Book Language,Description,Book Slug,Book Chapters,Novel Status,thumbnail,novelLink
The Law of Webnovels,https://www.novelupdates.com/series/the-law-of-web-novels/,Comedy:Drama:Fantasy:Harem:Romance:School Life:Shoujo:Slice of Life,https://cdn.novelupdates.com/images/2019/09/The-Law-of-Web-Novels.jpg,Yoo Han Ryeo,(4.4 / 5.0 61 votes),"Adapted to Manhwa,Average-looking Protagonist,Character Growth,Cross-dressing,Female Protagonist,Handsome Male Lead,Inferiority Complex,Mob Protagonist,Multiple POV,Popular Love Interests,Slow Romance,Strong Love Interests,Transported to Another World",Korean,"Ham Dani a normal student whose hobbies were to read novels.
One day she woke up and find out that the girl next-door is as beautiful as a web novel protagonist.
And in school there was the introduction of ‘The Four Heavenly Kings’.
The world changed into a web novel just over night and Ham Dani’s role is heroine’s childhood friend 1!
“I just want to live normally but why is everyone doing this to me!”
Due to a strong fate ‘The Four Heavenly Kings’ and the heroine entwines Dani’s everyday life.
And the results are?
",the-law-of-web-novels, 8 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_24909.jpg,https://wuxiaworld.site/novel/the-law-of-webnovels-webnovels-webnovel/
Library of Heaven’s Path,https://www.novelupdates.com/series/library-of-heavens-path/,Action:Comedy:Drama:Fantasy:Harem:Martial Arts:Romance:Xuanhuan,https://cdn.novelupdates.com/images/2017/03/Library-of-Heaven’s-Path.jpg,Heng Sao Tian Ya,(3.8 / 5.0 1365 votes),"Academy,Arrogant Characters,Beautiful Female Lead,Body Tempering,Bookworm,Charming Protagonist,Clones,Cunning Protagonist,Dense Protagonist,Doctors,Enlightenment,Fast Cultivation,Hiding True Identity,Late Romance,Male Protagonist,Master-Disciple Relationship,Misunderstandings,Overpowered Protagonist,Poisons,Possessive Characters,Reincarnated in Another World,Shameless Protagonist,Souls,Sword Wielder,Transmigration,Underestimated Protagonist",Chinese,"Traversing into another world Zhang Xuan finds himself becoming an honorable teacher.
Along with his transcension a mysterious library appears in his mind.
As long as it is something he has seen regardless of whether it is a human or an object a book on its weaknesses will be automatically compiled in the library.
Thus he becomes formidable. 
“Emperor Zhuoyang why do you detest wearing your underwear so much? As an emperor can’t you pay a little more attention to your image?”
“Fairy Linglong you can always look for me if you find yourself unable to sleep at night. I am skilled in lullabies!”
“And you Demon Lord Qiankun! Can you cut down on the garlic? Are you trying to kill me with that stench?” 
This is an incredible story about teachers and students grooming and guiding the greatest experts in the world!
",library-of-heavens-path, 80 Chapters,Completed,https://cdn.novelupdates.com/imgmid/series_9072.jpg,https://wuxiaworld.site/novel/library-of-heavens-path-novelread-15332/
Genius Doctor: Black Belly Miss,https://www.novelupdates.com/series/genius-doctor-black-belly-miss/,Action:Adventure:Comedy:Fantasy:Gender Bender:Josei:Romance:Xuanhuan,https://cdn.novelupdates.com/images/2018/01/Black_Belly_Miss.jpg,North Night,(4.4 / 5.0 1330 votes),"Academy,Apathetic Protagonist,Beautiful Female Lead,Broken Engagement,Character Growth,Cross-dressing,Cunning Protagonist,Depictions of Cruelty,Doctors,Eidetic Memory,Genius Protagonist,Handsome Male Lead,Hidden Abilities,Kuudere,Loyal Subordinates,Multiple POV,Older Love Interests,Poisons,Proactive Protagonist,Ruthless Protagonist,Sharp-tongued Characters,Special Abilities,Strong Love Interests,Trap,Unique Cultivation Technique,Wealthy Characters",Chinese,"She was a peerless genius in the 24th Century – all she needed was a silver needle and she could practically bring anyone back from the dead. 
After an explosion she crossed over into a strange world; everyone calls her “Miss.” The previous “Miss” before had no contractual spirit was weak and incompetent and even the fiancé comes over with a new love and bullies her? 
Now that she has taken over who dares to act so presumptuously around her? With needles in hand the world is for her to own! Wherever she goes miracles follow! However she saved a pest. What was she thinking when she saved that man. His stunning demeanor and impeccable face is a huge contrast to his cruel actions. He tries all ways to win her over.
",genius-doctor-black-belly-miss, 111 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_6491.jpg,https://wuxiaworld.site/novel/genius-doctor-black-belly-miss-novel/
Reverend Insanity,https://www.novelupdates.com/series/reverend-insanity/,Action:Adventure:Fantasy:Mature:Mystery:Psychological:Tragedy:Xianxia,https://cdn.novelupdates.com/images/2018/09/16f28ed8a155d1227eb810c88504dc97.jpg,Gu Zhen Ren,(4.3 / 5.0 999 votes),"Academy,Adapted to Manhua,Antihero Protagonist,Appearance Changes,Artifacts,Battle Competition,Blackmail,Body Swap,Bodyguards,Calm Protagonist,Charismatic Protagonist,Clones,Confident Protagonist,Cultivation,Dao Comprehension,Depictions of Cruelty,Divination,Enemies Become Allies,Family Conflict,Fast Learner,Gore,Harsh Training,Heavenly Tribulation,Hiding True Identity,Inheritance,Limited Lifespan,Low-key Protagonist,Magic Beasts,Magical Space,Manipulative Characters,Mercenaries,Mind Control,Money Grubber,Multiple Identities,Multiple Reincarnated Individuals,Multiple Transported Individuals,Mythical Beasts,Past Plays a Big Role,Philosophical,Poor Protagonist,Pragmatic Protagonist,Proactive Protagonist,Protagonist with Multiple Bodies,Ruthless Protagonist,Second Chance,Selfish Protagonist,Sibling Rivalry,S*aves,Souls,Special Abilities,Strong to Stronger,Time Manipulation,Time Travel,Transmigration,Tribal Society,Twins,Unique Cultivation Technique,Weak to Strong,Younger Brothers",Chinese,"Humans are the spirit of all living beings Gu are the essence of Heaven and Earth. 
With his Three Fundamental Views* unrighteous a demon is reborn.
Former days are but an old dream an identical name made anew.
A story about a time traveller who constantly keeps on being reborn.
A unique world that grows cultivates and uses Gu.
The Spring Autumn Cicada Moonlight Gu Liquor worm All-Encompassing Golden Light Worm Fine Black Hair Gu Hope Gu…
And a peerless great demon that freely acts to his heart’s content.
—–
Gu is a legendary venomous insect often used in black magic practices. It can take on the form of several insects usually snakes crickets worms etc.
* = one’s world view values of worth and philosophy on life
",reverend-insanity, 84 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_6780.jpg,https://wuxiaworld.site/novel/reverend-insanity-webnovel-free/
Versatile Mage,https://www.novelupdates.com/series/versatile-mage/,Action:Fantasy:Harem:School Life:Supernatural:Xuanhuan,https://cdn.novelupdates.com/images/2017/08/Versatile-Mage.jpg,Chaos,(3.4 / 5.0 391 votes),"Academy,Adapted to Drama,Alternate World,Character Growth,Cultivation,Hated Protagonist,Loyal Subordinates,Magic,Male Protagonist,Monsters,Shameless Protagonist,Slow Growth at Start,Summoning Magic,Transported to Another World",Chinese,"He woke up in a familiar world that had vastly changed.
His familiar school had become a mystical school that teaches magic encouraging everyone to become a mighty magician.
Outside the city many wandering magical beasts and monsters attacked and preyed on humans.
His world of advanced science changed into one that praised magic. Despite this his ambition in life and his social status remained the same; one of the dregs of the society with a struggling father and a disabled step sister that couldn’t walk.
However Mo Fan found that when most people could only practice a single major element of magic he was a Versatile Mage!
",versatile-mage, 0 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_4468.jpg,https://wuxiaworld.site/novel/versatile-mage-webnovel/
Martial Peak,https://www.novelupdates.com/series/martial-peak/,Action:Adventure:Harem:Martial Arts:Mature:Seinen:Xuanhuan,https://cdn.novelupdates.com/images/2016/02/i228072.jpg,Momo,(3.9 / 5.0 535 votes),"Adapted to Manhua,Arrogant Characters,Bloodlines,Cultivation,Demon Lord,Determined Protagonist,Fast Cultivation,F*llatio,Hard-Working Protagonist,Hidden Abilities,Inheritance,Male Protagonist,Nobles,Personality Changes,Polygamy,R*pe,Sect Development,Shameless Protagonist,Strong to Stronger,Weak to Strong",Chinese,"The journey to the martial peak is a lonely solitary and long one.  In the face of adversity you must survive and remain unyielding. Only then can you break through and continue on your journey to become the strongest. High Heaven Pavilion tests its disciples in the harshest ways to prepare them for this journey. One day the lowly sweeper Yang Kai managed to obtain a black book setting him on the road to the peak of the martials world.
",martial-peak, 1645 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_2866.jpg,https://wuxiaworld.site/novel/martial-peak/
Monster Paradise,https://www.novelupdates.com/series/monster-paradise/,Action:Adventure:Fantasy:Xuanhuan,https://cdn.novelupdates.com/images/2017/11/Monster-Paradise.jpg,酒煮核弹头,(3.7 / 5.0 524 votes),"Ability Steal,Artifacts,Beast Companions,Calm Protagonist,Cheats,Fast Cultivation,Game Elements,Gunfighters,Hard-Working Protagonist,Hiding True Abilities,Hunters,Male Protagonist,Monster Tamer,Multiple Realms,Mutated Creatures,Psychic Powers,Skill Assimilation,Strategist,Sudden Strength Gain,Sword Wielder,Transmigration,Weak to Strong",Chinese,"800 years ago 3000 dimensional gates opened across the entire world. In that moment it was as if 3000 different colored eyes opened across the world as hordes of monsters swarmed out of these gates like tears.
Some could destroy city walls with one strike; They had bodies the size of a giant and fed on humans
Some latched onto humans absorbing their bodies’ nutrients and enslaving humans
Some infiltrated the humans’ cities disguising themselves as normal human beings while feeding upon human blood to sustain themselves.
In a night the Human race fell to the bottom of the food chain.
The world had turned into a paradise for monsters…
",monster-paradise, 39 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_12748.jpg,https://wuxiaworld.site/novel/monster-paradise-webnovel-freeread/
War Sovereign Soaring The Heavens,https://www.novelupdates.com/series/war-sovereign-soaring-the-heavens/,Action:Adventure:Harem:Martial Arts:Sci-fi:Xuanhuan,https://cdn.novelupdates.com/images/2017/05/War-Sovereign-Soaring-The-Heavens.jpg,风轻扬,(2.9 / 5.0 404 votes),"Academy,Amnesia,Arrogant Characters,Betrayal,Confident Protagonist,Cute Children,Early Romance,Handsome Male Lead,Heavenly Tribulation,Hot-blooded Protagonist,Kidnappings,Long Separations,Magic Formations,Marriage,Multiple Realms,Naive Protagonist,Pill Concocting,Pregnancy,Romantic Subplot,Spatial Manipulation,Strength-based Social Hierarchy,Threesome,Time Skip,Transplanted Memories,Unique Cultivation Technique",Chinese,"Earth’s top weapon specialist’s soul crossed over to an alternate world merged with Rebirth Martial Emperor’s memories cultivating Nine Dragons War Sovereign Technique sweeping through all opposition with invincible might!
Able to refine medicine capable of crafting weapons and knows the art of inscription….
Being skilled in all professions is the way of kings!
",war-sovereign-soaring-the-heavens, 94 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_11574.jpg,https://wuxiaworld.site/novel/war-sovereign-soaring-the-heavens-novel-free-78839/
War Sovereign Soaring The Heavens,https://www.novelupdates.com/series/war-sovereign-soaring-the-heavens/,Action:Adventure:Harem:Martial Arts:Sci-fi:Xuanhuan,https://cdn.novelupdates.com/images/2017/05/War-Sovereign-Soaring-The-Heavens.jpg,风轻扬,(2.9 / 5.0 404 votes),"Academy,Amnesia,Arrogant Characters,Betrayal,Confident Protagonist,Cute Children,Early Romance,Handsome Male Lead,Heavenly Tribulation,Hot-blooded Protagonist,Kidnappings,Long Separations,Magic Formations,Marriage,Multiple Realms,Naive Protagonist,Pill Concocting,Pregnancy,Romantic Subplot,Spatial Manipulation,Strength-based Social Hierarchy,Threesome,Time Skip,Transplanted Memories,Unique Cultivation Technique",Chinese,"Earth’s top weapon specialist’s soul crossed over to an alternate world merged with Rebirth Martial Emperor’s memories cultivating Nine Dragons War Sovereign Technique sweeping through all opposition with invincible might!
Able to refine medicine capable of crafting weapons and knows the art of inscription….
Being skilled in all professions is the way of kings!
",war-sovereign-soaring-the-heavens, 94 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_11574.jpg,https://wuxiaworld.site/novel/war-sovereign-soaring-the-heavens-novel-free-78839/
Abe the Wizard,https://www.novelupdates.com/series/abe-the-wizard/,Action:Adventure:Fantasy:Shounen,https://cdn.novelupdates.com/images/2020/01/atw.jpg,The Mass Of Eating Melon Seeds,(3.0 / 5.0 57 votes),"Age Regression,Archery,Beast Companions,Business Management,Cheats,Death of Loved Ones,Druids,Elves,Familial Love,Fast Cultivation,Gods,Knights,Mature Protagonist,Romantic Subplot,Summoning Magic,Transmigration,Wizards",Chinese,"I was reincarnated into another world and I’ve brought the Horadric Cube from Diablo II with me.
Being a knight is cool and all but being a wizard is pretty neat as well.
So which one will it be?
",abe-the-wizard, 10 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_27036.jpg,https://wuxiaworld.site/novel/abe-the-wizard-wuxia-freeread/
Super Detective in the Fictional World,https://www.novelupdates.com/series/super-detective-in-the-fictional-world/,Action:Adventure:Fantasy:Martial Arts:Mystery:Sci-fi:Supernatural,https://cdn.novelupdates.com/images/2020/03/images-7.jpeg,Icy Plain's Three Elegance,(4.2 / 5.0 40 votes),"Ability Steal,Appearance Different from Actual Age,Comedic Undertone,Fanfiction,Gangs,Heroes,Male Protagonist,Monsters,Mutations,Police,Reincarnation,Special Abilities,Weak to Strong",Chinese,"Luke has transmigrated to the United States but eventually realizes that this United States is different from the United States of his previous life. Here the superpowers and characters from the movies in his previous life actually exist. How will Luke fare in a world where such terrifying superpowers exist?
Fortunately he has a cheat – the Super Detective System.
Join Luke on his new journey toward becoming a detective.
",super-detective-in-the-fictional-world, 0 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_28348.jpg,https://wuxiaworld.site/novel/super-detective-in-the-fictional-world-webnovel-freeread/
Dragon-Marked War God,https://www.novelupdates.com/series/dragon-marked-war-god/,Action:Adventure:Drama:Fantasy:Harem:Martial Arts:Mature:Xuanhuan,https://cdn.novelupdates.com/images/2016/03/Dragon-MarkedWarGod.jpg,Su Yue Xi,(3.9 / 5.0 1294 votes),"Alchemy,Artifacts,Beautiful Female Lead,Body Tempering,Comedic Undertone,Cultivation,Demonic Cultivation Technique,Dragons,Fast Cultivation,Handsome Male Lead,Hot-blooded Protagonist,Male Protagonist,Mythical Beasts,Overpowered Protagonist,Pill Concocting,Previous Life Talent,Reincarnation,Romantic Subplot,Soul Power,Strength-based Social Hierarchy,Strong to Stronger,Transformation Ability,Weak to Strong",Chinese,"The once greatest Saint underneath the heavens has been reborn after one hundred years. He cultivates with mighty skills and he fights to once again reach the top of the world!
Don’t compete with me when it comes to concocting pills 100% effectiveness means nothing to me.
Don’t compete with me when it comes to cultivation speed I won’t be responsible when you die from embarrassment.
Don’t compete with me when it comes to experience as I’m an ancient ancestor.
The existence of Jiang Chen is destined to ridicule thousands of geniuses……
",dragon-marked-war-god, 2623 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_4214.jpg,https://wuxiaworld.site/novel/dragon-marked-war-god/
